query_id,retrieval_strategy,alpha,top_k,recall_at_k
INT2-Q-STUDYGLOW,no_retrieval,,1,0.0
INT2-Q-STUDYGLOW,no_retrieval,,2,0.0
INT2-Q-STUDYGLOW,no_retrieval,,3,0.0
INT2-Q-STUDYGLOW,no_retrieval,,5,0.0
INT2-Q-STUDYGLOW,lexical_only,,1,0.5
INT2-Q-STUDYGLOW,lexical_only,,2,0.5
INT2-Q-STUDYGLOW,lexical_only,,3,0.5
INT2-Q-STUDYGLOW,lexical_only,,5,1.0
INT2-Q-STUDYGLOW,semantic_only,,1,0.5
INT2-Q-STUDYGLOW,semantic_only,,2,0.5
INT2-Q-STUDYGLOW,semantic_only,,3,0.5
INT2-Q-STUDYGLOW,semantic_only,,5,1.0
INT2-Q-STUDYGLOW,hybrid,0.0,1,0.5
INT2-Q-STUDYGLOW,hybrid,0.0,2,0.5
INT2-Q-STUDYGLOW,hybrid,0.0,3,0.5
INT2-Q-STUDYGLOW,hybrid,0.0,5,1.0
INT2-Q-STUDYGLOW,hybrid,0.25,1,0.5
INT2-Q-STUDYGLOW,hybrid,0.25,2,0.5
INT2-Q-STUDYGLOW,hybrid,0.25,3,0.5
INT2-Q-STUDYGLOW,hybrid,0.25,5,1.0
INT2-Q-STUDYGLOW,hybrid,0.5,1,0.5
INT2-Q-STUDYGLOW,hybrid,0.5,2,0.5
INT2-Q-STUDYGLOW,hybrid,0.5,3,0.5
INT2-Q-STUDYGLOW,hybrid,0.5,5,1.0
INT2-Q-STUDYGLOW,hybrid,0.75,1,0.5
INT2-Q-STUDYGLOW,hybrid,0.75,2,0.5
INT2-Q-STUDYGLOW,hybrid,0.75,3,0.5
INT2-Q-STUDYGLOW,hybrid,0.75,5,1.0
INT2-Q-STUDYGLOW,hybrid,1.0,1,0.5
INT2-Q-STUDYGLOW,hybrid,1.0,2,0.5
INT2-Q-STUDYGLOW,hybrid,1.0,3,0.5
INT2-Q-STUDYGLOW,hybrid,1.0,5,1.0
INT2-Q-NOTEBOOK,no_retrieval,,1,0.0
INT2-Q-NOTEBOOK,no_retrieval,,2,0.0
INT2-Q-NOTEBOOK,no_retrieval,,3,0.0
INT2-Q-NOTEBOOK,no_retrieval,,5,0.0
INT2-Q-NOTEBOOK,lexical_only,,1,0.5
INT2-Q-NOTEBOOK,lexical_only,,2,0.5
INT2-Q-NOTEBOOK,lexical_only,,3,1.0
INT2-Q-NOTEBOOK,lexical_only,,5,1.0
INT2-Q-NOTEBOOK,semantic_only,,1,0.5
INT2-Q-NOTEBOOK,semantic_only,,2,0.5
INT2-Q-NOTEBOOK,semantic_only,,3,1.0
INT2-Q-NOTEBOOK,semantic_only,,5,1.0
INT2-Q-NOTEBOOK,hybrid,0.0,1,0.5
INT2-Q-NOTEBOOK,hybrid,0.0,2,0.5
INT2-Q-NOTEBOOK,hybrid,0.0,3,1.0
INT2-Q-NOTEBOOK,hybrid,0.0,5,1.0
INT2-Q-NOTEBOOK,hybrid,0.25,1,0.5
INT2-Q-NOTEBOOK,hybrid,0.25,2,0.5
INT2-Q-NOTEBOOK,hybrid,0.25,3,1.0
INT2-Q-NOTEBOOK,hybrid,0.25,5,1.0
INT2-Q-NOTEBOOK,hybrid,0.5,1,0.5
INT2-Q-NOTEBOOK,hybrid,0.5,2,0.5
INT2-Q-NOTEBOOK,hybrid,0.5,3,1.0
INT2-Q-NOTEBOOK,hybrid,0.5,5,1.0
INT2-Q-NOTEBOOK,hybrid,0.75,1,0.5
INT2-Q-NOTEBOOK,hybrid,0.75,2,0.5
INT2-Q-NOTEBOOK,hybrid,0.75,3,1.0
INT2-Q-NOTEBOOK,hybrid,0.75,5,1.0
INT2-Q-NOTEBOOK,hybrid,1.0,1,0.5
INT2-Q-NOTEBOOK,hybrid,1.0,2,0.5
INT2-Q-NOTEBOOK,hybrid,1.0,3,1.0
INT2-Q-NOTEBOOK,hybrid,1.0,5,1.0
INT2-Q-STUDY-CLUB,no_retrieval,,1,0.0
INT2-Q-STUDY-CLUB,no_retrieval,,2,0.0
INT2-Q-STUDY-CLUB,no_retrieval,,3,0.0
INT2-Q-STUDY-CLUB,no_retrieval,,5,0.0
INT2-Q-STUDY-CLUB,lexical_only,,1,0.5
INT2-Q-STUDY-CLUB,lexical_only,,2,0.5
INT2-Q-STUDY-CLUB,lexical_only,,3,0.5
INT2-Q-STUDY-CLUB,lexical_only,,5,1.0
INT2-Q-STUDY-CLUB,semantic_only,,1,0.5
INT2-Q-STUDY-CLUB,semantic_only,,2,0.5
INT2-Q-STUDY-CLUB,semantic_only,,3,0.5
INT2-Q-STUDY-CLUB,semantic_only,,5,1.0
INT2-Q-STUDY-CLUB,hybrid,0.0,1,0.5
INT2-Q-STUDY-CLUB,hybrid,0.0,2,0.5
INT2-Q-STUDY-CLUB,hybrid,0.0,3,0.5
INT2-Q-STUDY-CLUB,hybrid,0.0,5,1.0
INT2-Q-STUDY-CLUB,hybrid,0.25,1,0.5
INT2-Q-STUDY-CLUB,hybrid,0.25,2,0.5
INT2-Q-STUDY-CLUB,hybrid,0.25,3,0.5
INT2-Q-STUDY-CLUB,hybrid,0.25,5,1.0
INT2-Q-STUDY-CLUB,hybrid,0.5,1,0.5
INT2-Q-STUDY-CLUB,hybrid,0.5,2,0.5
INT2-Q-STUDY-CLUB,hybrid,0.5,3,0.5
INT2-Q-STUDY-CLUB,hybrid,0.5,5,1.0
INT2-Q-STUDY-CLUB,hybrid,0.75,1,0.5
INT2-Q-STUDY-CLUB,hybrid,0.75,2,0.5
INT2-Q-STUDY-CLUB,hybrid,0.75,3,0.5
INT2-Q-STUDY-CLUB,hybrid,0.75,5,1.0
INT2-Q-STUDY-CLUB,hybrid,1.0,1,0.5
INT2-Q-STUDY-CLUB,hybrid,1.0,2,0.5
INT2-Q-STUDY-CLUB,hybrid,1.0,3,0.5
INT2-Q-STUDY-CLUB,hybrid,1.0,5,1.0
INT2-Q-MARKET-EDGE,no_retrieval,,1,0.0
INT2-Q-MARKET-EDGE,no_retrieval,,2,0.0
INT2-Q-MARKET-EDGE,no_retrieval,,3,0.0
INT2-Q-MARKET-EDGE,no_retrieval,,5,0.0
INT2-Q-MARKET-EDGE,lexical_only,,1,0.5
INT2-Q-MARKET-EDGE,lexical_only,,2,0.5
INT2-Q-MARKET-EDGE,lexical_only,,3,1.0
INT2-Q-MARKET-EDGE,lexical_only,,5,1.0
INT2-Q-MARKET-EDGE,semantic_only,,1,0.5
INT2-Q-MARKET-EDGE,semantic_only,,2,0.5
INT2-Q-MARKET-EDGE,semantic_only,,3,1.0
INT2-Q-MARKET-EDGE,semantic_only,,5,1.0
INT2-Q-MARKET-EDGE,hybrid,0.0,1,0.5
INT2-Q-MARKET-EDGE,hybrid,0.0,2,0.5
INT2-Q-MARKET-EDGE,hybrid,0.0,3,1.0
INT2-Q-MARKET-EDGE,hybrid,0.0,5,1.0
INT2-Q-MARKET-EDGE,hybrid,0.25,1,0.5
INT2-Q-MARKET-EDGE,hybrid,0.25,2,0.5
INT2-Q-MARKET-EDGE,hybrid,0.25,3,1.0
INT2-Q-MARKET-EDGE,hybrid,0.25,5,1.0
INT2-Q-MARKET-EDGE,hybrid,0.5,1,0.5
INT2-Q-MARKET-EDGE,hybrid,0.5,2,0.5
INT2-Q-MARKET-EDGE,hybrid,0.5,3,1.0
INT2-Q-MARKET-EDGE,hybrid,0.5,5,1.0
INT2-Q-MARKET-EDGE,hybrid,0.75,1,0.5
INT2-Q-MARKET-EDGE,hybrid,0.75,2,0.5
INT2-Q-MARKET-EDGE,hybrid,0.75,3,1.0
INT2-Q-MARKET-EDGE,hybrid,0.75,5,1.0
INT2-Q-MARKET-EDGE,hybrid,1.0,1,0.5
INT2-Q-MARKET-EDGE,hybrid,1.0,2,0.5
